phase,issue_name,severity,threshold_condition
1,episode_folder_name,"major（触发即fail）","episode目录名不以episode_开头"
1,checksum_manifest_missing,"critical（配置项phase1_metadata.checksum.required默认True时触发即fail）；minor（该配置为False时触发即warning）",".checksum_manifest文件不存在；是否fail由配置项phase1_metadata.checksum.required（默认True）决定"
1,checksum_manifest_invalid,"critical（触发即fail）",".checksum_manifest不是合法JSON对象，或包含不安全/无效相对路径，或checksum值不是配置项phase1_metadata.checksum.accepted_algorithms（默认['sha256','md5']）支持的32位md5或64位sha256十六进制字符串"
1,checksum_manifest_file_missing,"critical（触发即fail）",".checksum_manifest中列出的任一相对路径在episode目录下不存在"
1,checksum_manifest_path_not_file,"critical（触发即fail）",".checksum_manifest中列出的任一相对路径存在但不是普通文件"
1,checksum_manifest_file_empty,"major（触发即fail）",".checksum_manifest中列出的任一普通文件大小为0字节"
1,checksum_hash_unreadable,"critical（触发即fail）","仅当配置项phase1_metadata.checksum.verify_hashes（默认False）为True时执行；任一manifest文件无法读取以计算hash"
1,checksum_hash_mismatch,"critical（触发即fail）","仅当配置项phase1_metadata.checksum.verify_hashes（默认False）为True时执行；实际文件hash不等于manifest记录值"
1,metadata_exists,"critical（触发即fail）","metadata.json不存在"
1,metadata_valid_json,"critical（触发即fail）","metadata.json无法读取，或不是合法JSON，或顶层不是JSON对象"
1,parent_path_structure,"minor（触发即warning）","episode路径不满足len(parts)>=4且倒数第3级目录是8位数字日期且倒数第2级目录非空；期望结构为<task>/<date>/<operator>/<episode>"
1,required_metadata_field,"major（触发即fail）","task_key、episode_index缺失/为空；duration_seconds或total_frames不是正数；modalities不是非空dict；fps_actual和fps_config均不是正数；quality字段不存在"
1,task_folder_metadata_mismatch,"info（触发即pass）","metadata.task_key和从路径推断的task folder规范化后不相等；只记录标签/路径不一致，不作为失败"
1,task_device_reference_missing,"info（触发即pass）","任务参考表可用，但匹配任务的compatible_device_types未映射到single_arm、dual_arm或umi，因此跳过task_robot_mismatch"
1,robot_device_category_unknown,"info（触发即pass）","任务参考类别已知，但episode robot无法通过配置项phase1_metadata.robot_device_categories映射到single_arm、dual_arm或umi，因此跳过task_robot_mismatch"
1,task_robot_mismatch,"major（触发即fail）","任务兼容设备类别和实际robot设备类别均已知且二者不相等；类别来自任务参考和配置项phase1_metadata.robot_device_categories"
1,modality_folder_missing,"major（触发即fail）","metadata.modalities中的已知非flow modality在episode目录下没有对应目录；observation.image.flow_*被跳过"
1,required_modality_file_missing,"major（触发即fail）","已知image modality缺少video.mp4或timestamps.csv；已知CSV modality（actions、action.*、actions.*、observation.state.*）缺少data.csv"
1,required_modality_file_empty,"major（触发即fail）","已知image/CSV modality的必需文件存在但大小为0字节"
1,action_modality_singular_name,"info（配置项为pass时）；minor（配置项为warning或needs_review时）；major（配置项为fail时）","存在action.*目录且不是actions.*；状态由配置项phase1_metadata.modalities.singular_action_status（默认pass）决定"
1,unknown_modality_detected,"info（配置项为pass时）；minor（配置项为warning或needs_review时）；major（配置项为fail时）","发现以action.、actions.或observation.开头但不是已知modality且不是observation.image.flow_*的目录/metadata名称；状态由配置项phase1_metadata.modalities.unknown_modality_status（默认pass）决定"
1,quality_labels_missing,"minor（触发即warning）","metadata.quality不是dict，或quality.labels不是非空list"
2,duration_under_5s,"critical（触发即fail）","duration_seconds为正数且duration_seconds < 5.0秒"
2,duration_not_positive,"critical（触发即fail）","duration_seconds缺失、非数字或<=0"
2,total_frames_not_positive,"critical（触发即fail）","total_frames无法转换为int(float(value))后>0，或值为bool"
2,duration_frames_fps_inconsistent,"major（触发即fail）","abs(total_frames - duration_seconds * fps) / (duration_seconds * fps) > 0.10；fps优先使用fps_actual，若非正数则使用fps_config"
2,timestamps_unreadable,"major（触发即fail）","image modality目录中的timestamps.csv无法读取或解析；image modality为observation.image.*且不含observation.image.flow_*"
2,timestamps_row_count_mismatch,"major（触发即fail）","abs(timestamps.csv数据行数 - metadata.total_frames) / metadata.total_frames > 0.10"
